sep=;
Name:;Department:;Phone Number:;EmailAddress:
Administrator;;;
Guest;;;
krbtgt;;;
Dan Joachim Seeberg Amundsen;;;
Lars K. Hansen;Administrasjon;+47 923 45 678;laha@fsi-danamu.com
Erik B. Johansen;Salg;+47 912 34 567;erjo@fsi-danamu.com
Bjørn T. Olsen;Utvikling;+47 954 67 890;bjol@fsi-danamu.com
Anders M. Larsen;Kundestøtte;+47 926 78 901;anla@fsi-danamu.com
Ole R. Nilsen;HR;+47 913 56 789;olni@fsi-danamu.com
Per S. Pedersen;Salg;+47 974 82 356;pepe@fsi-danamu.com
Bjørn A. Olsen;Salg;+47 928 34 567;bjos@fsi-danamu.com
Marius J. Kristiansen;Kundestøtte;+47 935 67 890;makr@fsi-danamu.com
Magnus F. Eriksen;Kundestøtte;+47 923 89 012;maer@fsi-danamu.com
Eirik Ø. Ås;HR;+47 962 34 578;eiås@fsi-danamu.com
Ingrid Z. Haugen;Utvikling;+47 915 78 234;inha@fsi-danamu.com
Astrid L. Solberg;Administrasjon;+47 938 45 671;asso@fsi-danamu.com
Sigrid Q. Moen;Utvikling;+47 947 29 834;simo@fsi-danamu.com
Liv E. Strand;Salg;+47 932 45 781;list@fsi-danamu.com
Marit T. Hagen;Utvikling;+47 922 58 496;maha@fsi-danamu.com
Silje H. Holte;Utvikling;+47 968 72 345;siho@fsi-danamu.com
Solveig . Holte;IT;+47 919 84 265;soho@fsi-danamu.com
Ragnhild B. Madsen;IT;+47 947 34 629;rama@fsi-danamu.com
Hanne Y. Skogen;Utvikling;+47 933 74 581;hask@fsi-danamu.com
Aina D. Aasen;Administrasjon;+47 952 48 736;aiaa@fsi-danamu.com
Aksel H. Hansen;IT;+47 123 45 678;akha@fsi-danamu.com
Ingrid M. Olsen;HR;+47 234 56 789;inol@fsi-danamu.com
Lars K. Johansen;Salg;+47 345 67 890;lajo@fsi-danamu.com
Sara L. Nilsen;Kundestøtte;+47 456 78 901;sani@fsi-danamu.com
Erik S. Pedersen;Utvikling;+47 567 89 012;erpe@fsi-danamu.com
Nina A. Andersen;Administrasjon;+47 678 90 123;nian@fsi-danamu.com
Marius T. Berg;IT;+47 789 01 234;mabe@fsi-danamu.com
Emma B. Haugen;HR;+47 890 12 345;emha@fsi-danamu.com
Ole E. Dahl;Salg;+47 901 23 456;olda@fsi-danamu.com
Liv G. Hagen;Kundestøtte;+47 012 34 567;liha@fsi-danamu.com
Henrik N. Lunde;Utvikling;+47 123 45 679;helu@fsi-danamu.com
Mari C. Solberg;Administrasjon;+47 234 56 780;maso@fsi-danamu.com
Jonas D. Svendsen;IT;+47 345 67 891;josv@fsi-danamu.com
Anna F. Kristiansen;HR;+47 456 78 902;ankr@fsi-danamu.com
Kristian J. Moe;Salg;+47 567 89 013;krmo@fsi-danamu.com
Thea V. Jacobsen;Kundestøtte;+47 678 90 124;thja@fsi-danamu.com
Magnus O. Halvorsen;Utvikling;+47 789 01 235;mahl@fsi-danamu.com
Ida P. Jørgensen;Administrasjon;+47 890 12 346;idjø@fsi-danamu.com
Sander R. Pettersen;IT;+47 901 23 457;sape@fsi-danamu.com
Elise Q. Martinsen;Utvikling;+47 012 34 568;elma@fsi-danamu.com
Tobias U. Kristoffersen;Salg;+47 123 45 680;tokr@fsi-danamu.com
Nora W. Sandberg;Kundestøtte;+47 234 56 781;nosa@fsi-danamu.com
Alexander Y. Andresen;Utvikling;+47 345 67 892;alan@fsi-danamu.com
Sofie Z. Engen;Administrasjon;+47 456 78 903;soen@fsi-danamu.com
Markus I. Ali;Salg;+47 567 89 014;maal@fsi-danamu.com
Mia S. Johannessen;Kundestøtte;+47 678 90 125;mijo@fsi-danamu.com
Filip D. Andreassen;Salg;+47 789 01 236;fian@fsi-danamu.com
Amalie K. Berge;Kundestøtte;+47 890 12 347;ambe@fsi-danamu.com
Oliver E. Hassan;Utvikling;+47 901 23 458;olha@fsi-danamu.com
Emma T. Nguyen;Administrasjon;+47 012 34 569;emng@fsi-danamu.com
Henrik L. Eriksen;Kundestøtte;+47 123 45 681;heer@fsi-danamu.com
Ingrid M. Holm;Administrasjon;+47 234 56 782;inho@fsi-danamu.com
Mathias B. Svendsen;Salg;+47 345 67 893;masv@fsi-danamu.com
Ella H. Bergersen;Kundestøtte;+47 456 78 904;elbe@fsi-danamu.com
Sebastian . Carlsen;Utvikling;+47 567 89 015;seca@fsi-danamu.com
Julie C. Gulbrandsen;Administrasjon;+47 678 90 126;jugu@fsi-danamu.com
Jakob A. Gabrielsen;Kundestøtte;+47 789 01 237;jaga@fsi-danamu.com
